sample,repeat_class,repeat_family,count,total_length,mean_length,mean_div
T2T02,LINE,RTE-X,24987,5700754,228.148797374635,28.4249809901149
T2T02,LTR,DIRS,13458,922602,68.5541685242978,24.801798186952
T2T02,LTR,ERV1,351729,164787849,468.507996212994,15.8329227899889
T2T02,LTR,ERVK,20924,17530938,837.83874976104,8.71099694131141
T2T02,LTR,ERVL,313772,113530169,361.823773313106,23.1770132452864
T2T02,LTR,ERVL-MaLR,668905,214235646,320.278135161196,20.3087511679536
T2T02,LTR,Gypsy,40222,8473182,210.660384864005,27.8951593655214
T2T02,LTR,Unknown,27344,5720178,209.193168519602,27.0943570801638
T2T02,Low_complexity,Unknown,209667,16277157,77.6333757815965,19.4956602612714
T2T02,PLE,Unknown,1379,123184,89.3284989122553,23.5661348803481
T2T02,RC,Helitron,4100,858551,209.402682926829,27.047487804878
T2T02,Retroposon,SVA,84907,17496505,206.066696503233,23.7230075258813
T2T02,SINE,5S-Deu-L2,3825,418215,109.337254901961,27.5823790849673
T2T02,SINE,Alu,2383951,617535992,259.0388778964,13.0578099969337
T2T02,SINE,MIR,1110652,157693186,141.98253458329,28.2759971620273
T2T02,SINE,tRNA,3064,386105,126.013381201044,29.4987924281984
T2T02,SINE,tRNA-Deu,808,88705,109.783415841584,27.9378712871287
T2T02,SINE,tRNA-Deu-L2,13,734,56.4615384615385,22.4846153846154
T2T02,SINE,tRNA-RTE,8052,1035066,128.547690014903,31.0598360655738
T2T02,Satellite,Unknown,71304,120705045,1692.82291316055,14.7955430270392
T2T02,Satellite,acro,1133,1064011,939.109443954104,16.3395410414828
T2T02,Satellite,centr,5238,171146933,32674.0994654448,17.2743031691485
T2T02,Satellite,subtelo,391,287724,735.867007672634,11.3649616368286
T2T02,Simple_repeat,Unknown,1424493,153675272,107.880678950335,10.8020969566014
T2T02,Unknown,Unknown,82524,13164109,159.51855217876,17.673433183074
T2T02,rRNA,Unknown,7541,7926858,1051.16801485214,8.54751359236176
T2T02,scRNA,Unknown,3543,359773,101.544736099351,10.8392040643522
T2T02,snRNA,Unknown,9803,892052,90.9978577986331,13.2719473630521
T2T02,srpRNA,Unknown,4378,590832,134.954773869347,16.5455459113751
T2T02,tRNA,Unknown,3847,229589,59.6800103977125,10.3917858071224
T2T03,DNA,Crypton,569,83762,147.20913884007,25.4992970123023
T2T03,DNA,Crypton-A,277,40191,145.093862815884,26.6523465703971
T2T03,DNA,Kolobok,727,121052,166.50894085282,25.0735900962861
T2T03,DNA,MULE-MuDR,6105,2011005,329.402948402948,18.1100900900901
T2T03,DNA,Merlin,444,76506,172.310810810811,21.4626126126126
T2T03,DNA,PIF-Harbinger,738,128436,174.032520325203,26.5365853658537
T2T03,DNA,PiggyBac,4860,1070164,220.198353909465,13.0271193415638
T2T03,DNA,TcMar,313,59381,189.715654952077,26.7364217252396
T2T03,DNA,TcMar-Mariner,32930,5805836,176.308411782569,15.1172517461282
T2T03,DNA,TcMar-Pogo,65,7733,118.969230769231,24.7461538461538
T2T03,DNA,TcMar-Tc1,1540,261801,170.000649350649,21.8462987012987
T2T03,DNA,TcMar-Tc2,15892,3290757,207.070035237856,24.1724452554745
T2T03,DNA,TcMar-Tigger,248171,74779882,301.324014490009,20.2014582686938
T2T03,DNA,Unknown,15479,2202553,142.292977582531,25.7260029717682
T2T03,DNA,hAT,5479,998961,182.325424347509,26.0638802701223
T2T03,DNA,hAT-Ac,8101,1301892,160.707566967041,25.8244661152944
T2T03,DNA,hAT-Blackjack,32441,4728808,145.766406707561,22.2638420517247
